name,symbol
Equippp Social Impact Technologies Limited,EQUIPPP
Maral Overseas Limited,MARALOVER
Revathi Equipment India Limited,RVTH
Sakthi Sugars Limited,SAKHTISUG
Xelpmoc Design And Tech Limited,XELPMOC
M K Proteins Limited,MKPL
Aarvi Encon Limited,AARVI
Tainwala Chemical and Plastic (I) Limited,TAINWALCHM
Gillanders Arbuthnot & Company Limited,GILLANDERS
Zee Learn Limited,ZEELEARN
Brooks Laboratories Limited,BROOKS
Chembond Material Technologies Limited,CHEMBOND
Murudeshwar Ceramics Limited,MURUDCERA
SONAM LIMITED,SONAMLTD
Veto Switchgears And Cables Limited,VETO
Race Eco Chain Limited,RACE
PIL ITALICA LIFESTYLE LIMITED,PILITA
Elgi Rubber Company Limited,ELGIRUBCO
Rudra Global Infra Products Limited,RUDRA
Affordable Robotic & Automation Limited,AFFORDABLE
Sikko Industries Limited,SIKKO
Airan Limited,AIRAN
Vaswani Industries Limited,VASWANI
Silgo Retail Limited,SILGO
Raj Television Network Limited,RAJTV
Power & Instrumentation (Gujarat) Limited,PIGL
Jullundur Motor Agency (Delhi) Limited,JMA
Shiva Texyarn Limited,SHIVATEX
Kothari Sugars And Chemicals Limited,KOTARISUG
Shreyans Industries Limited,SHREYANIND
AION-TECH SOLUTIONS LIMITED,GOLDTECH
CL Educate Limited,CLEDUCATE
Supreme Holdings & Hospitality (India) Limited,SUPREME
Virinchi Limited,VIRINCHI
The Byke Hospitality Ltd,BYKE
Star Paper Mills Limited,STARPAPER
Aarey Drugs & Pharmaceuticals Limited,AAREYDRUGS
Worth Peripherals Limited,WORTHPERI
Country Club Hospitality & Holidays Limited,CCHHL
Nitiraj Engineers Limited,NITIRAJ
DRC Systems India Limited,DRCSYSTEMS
Zodiac Clothing Company Limited,ZODIACLOTH
Khadim India Limited,KHADIM
Pritika Auto Industries Limited,PRITIKAUTO
Vibhor Steel Tubes Limited,VSTL
AVG Logistics Limited,AVG
Cords Cable Industries Limited,CORDSCABLE
Kavveri Defence & Wireless Technologies Limited,KAVDEFENCE
Lyka Labs Limited,LYKALABS
Shree Tirupati Balajee Agro Trading Company Limited,BALAJEE
Kalyani Forge Limited,KALYANIFRG
Setco Automotive Limited,SETCO
Omax Autos Limited,OMAXAUTO
Global Vectra Helicorp Limited,GLOBALVECT
Lotus Eye Hospital and Institute Limited,LOTUSEYE
K.M.Sugar Mills Limited,KMSUGAR
VMS TMT Limited,VMSTMT
Alankit Limited,ALANKIT
IL&FS Investment Managers Limited,IVC
DCM Nouvelle Limited,DCMNVL
D P Wires Limited,DPWIRES
Ponni Sugars (Erode) Limited,PONNIERODE
Nectar Lifesciences Limited,NECLIFE
Team India Guaranty Limited,TEAMGTY
Reliance Communications Limited,RCOM
Jayshree Tea & Industries Limited,JAYSREETEA
Sintercom India Limited,SINTERCOM
Diamines & Chemicals Limited,DIAMINESQ
Intense Technologies Limited,INTENTECH
Sundaram Brake Linings Limited,SUNDRMBRAK
Univastu India Limited,UNIVASTU
UCAL LIMITED,UCAL
Hitech Corporation Limited,HITECHCORP
Surana Telecom and Power Limited,SURANAT&P
The Peria Karamalai Tea & Produce Company Limited,PKTEA
Vikas EcoTech Limited,VIKASECO
T T Limited,TTL
Oil Country Tubular Limited,OILCOUNTUB
Saraswati Saree Depot Limited,SSDL
Jinkushal Industries Limited,JKIPL
The United Nilgiri Tea Estates Company Limited,UNITEDTEA
Bafna Pharmaceuticals Limited,BAFNAPH
Poddar Pigments Limited,PODDARMENT
Indo-National Limited,NIPPOBATRY
Megastar Foods Limited,MEGASTAR
Ravinder Heights Limited,RVHL
Shivam Autotech Limited,SHIVAMAUTO
Naga Dhunseri Group Limited,NDGL
Geekay Wires Limited,GEEKAYWIRE
KCP Sugar and Industries Corporation Limited,KCPSUGIND
Generic Engineering Construction and Projects Limited,GENCON
Shankara Building Products Limited,SHANKARA
Asahi Songwon Colors Limited,ASAHISONG
Nagarjuna Fertilizers and Chemicals Limited,NAGAFERT
Starteck Finance Limited,STARTECK
Nova Agritech Limited,NOVAAGRI
U. Y. Fincorp Limited,UYFINCORP
Shankar Lal Rampal Dye-Chem Limited,SRD
Ashima Limited,ASHIMASYN
FCS Software Solutions Limited,FCSSOFT
Vikas Lifecare Limited,VIKASLIFE
UFO Moviez India Limited,UFO
Sahyadri Industries Limited,SAHYADRI
BPL Limited,BPL
Shemaroo Entertainment Limited,SHEMAROO
Asian Hotels (East) Limited,AHLEAST
Vardhman Acrylics Limited,VARDHACRLC
Nureca Limited,NURECA
Om Freight Forwarders Limited,OMFREIGHT
Almondz Global Securities Limited,ALMONDZ
United Polyfab Gujarat Limited,UNITEDPOLY
Kesoram Industries Limited,KESORAMIND
Spacenet Enterprises India Limited,SPCENET
Nath Bio-Genes (India) Limited,NATHBIOGEN
Indo Us Biotech Limited,INDOUS
Sakuma Exports Limited,SAKUMA
Dynemic Products Limited,DYNPRO
Emami Realty Limited,EMAMIREAL
Pavna Industries Limited,PAVNAIND
3i Infotech Limited,3IINFOLTD
TRF Limited,TRF
Industrial Investment Trust Limited,IITL
Modi Rubber Limited,MODIRUBBER
Spencer's Retail Limited,SPENCERS
Kanoria Chemicals & Industries Limited,KANORICHEM
Cineline India Limited,CINELINE
Globe Civil Projects Limited,GLOBECIVIL
